,Company,y_pred,y_true,Diff,current_volume,current_dividends,current_stock_splits,Diff_perc
130,AFI,-1.1548276418907406,3.83,-4.984827641890741,248600.0,0.0,0.0,-1.3015215775171647
131,AFIN,14.253234989215045,9.67,4.583234989215045,563700.0,0.0,0.0,0.4739643215320626
132,AFINP,25.33406692842566,22.93,2.40406692842566,35600.0,0.0,0.0,0.10484373870151156
133,AFL,55.59012862529663,42.1,13.490128625296627,4033600.0,0.0,0.0,0.3204306086768795
134,AFMD,2.165072140609993,3.39,-1.2249278593900073,831600.0,0.0,0.0,-0.36133565173746524
135,AFT,15.076586542788798,12.68,2.396586542788798,68300.0,0.0,0.0,0.18900524785400616
136,AFYA,29.96400863755989,21.01,8.954008637559888,121400.0,0.0,0.0,0.42617842158780994
137,AG,13.442796919854594,9.92,3.522796919854594,3893900.0,0.0,0.0,0.35512065724340663
138,AGBA,10.231282497962276,10.11,0.12128249796227664,0.0,0.0,0.0,0.011996290599631716
139,,,,,,,,
140,AGBAU,10.433251688119977,10.22,0.21325168811997663,0.0,0.0,0.0,0.02086611429745368
141,,,,,,,,
142,AGCO,80.85126263407071,63.62,17.23126263407071,475800.0,0.0,0.0,0.2708466305261036
143,AGD,10.365199042537308,9.23,1.135199042537307,55000.0,0.0,0.0,0.12299014545366273
144,AGE,0.06256042911101822,0.881,-0.8184395708889818,402400.0,0.0,0.0,-0.9289892972633165
145,AGEN,3.68776509443852,3.79,-0.10223490556148018,2470200.0,0.0,0.0,-0.02697490911912406
146,AGFS,1.1960426225498235,3.21,-2.0139573774501764,270300.0,0.0,0.0,-0.6274010521651641
147,,,,,,,,
148,AGI,6.848642064400538,7.82,-0.9713579355994622,4838000.0,0.0,0.0,-0.12421456976975219
149,AGIO,32.382358336924796,52.23,-19.8476416630752,427800.0,0.0,0.0,-0.38000462690168874
150,AGLE,7.631392201793576,8.89,-1.258607798206425,130500.0,0.0,0.0,-0.14157568033818052
151,AGM,86.46399254106703,75.05,11.413992541067032,52600.0,0.0,0.0,0.15208517709616298
